name,website,short_description,linkedin,categories,num_employees_enum,locations,founded_on,operating_status,founders
theBSDb,http://www.thebsdb.com,"theBSDb is a database engine that enables small and medium businesses to find, compare, and purchase SaaS and web-based applications.",http://www.linkedin.com/company/thebsdb,"Cloud Computing, Network Security, SaaS, Software",c_00001_00010,,1/1/2010,active,
theBestWebSuite.cf,http://thebestwebsuite.cf,A search site based off of yacy.,,"Information Technology, Internet",c_00001_00010,,,active,
theBiz,https://thebiz.com,theBIZ is the digital place to discover and engage stars.,,"Blockchain, Digital Entertainment",,,,active,"Bill Zanker, Dylan Zanker"
theBreadBlue,https://thebreadblue.com,theBreadBlue is a vegan bakery.,,"Bakery, Food and Beverage",c_00011_00050,Asia-Pacific (APAC),8/23/2017,active,
theBuildingSource.com,https://www.thebuildingsource.com,"theBuildingSource.com is a building material, furnishings, and professional services company. It offers the convenience of browsing, etc.,",https://www.linkedin.com/company/trinidad-&-tobago-building-source-ltd-/,"Advertising, Building Material, Construction, Interior Design, Retail",c_00011_00050,,1/1/2013,active,
theCOASTERapp,http://www.thecoasterapp.com,Mobile App,,"E-Commerce, Food and Beverage, Software",c_00001_00010,,2/3/2020,active,Brett Hartle
theCONSULTANTS,https://www.theconsultants.ro,"theCONSULTANTS offers professional services in employee development, leadership, and process optimization.",https://www.linkedin.com/company/theconsultants,"Consulting, Training",c_00011_00050,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2002,active,
theComplete.me,http://www.thecompleteme.com,theComplete.me is a social dating network that enables singles to post their interests and meet with others.,,Communities,,,,active,
theConstruct,http://theConstruct.io,Design Review Platform in VR/AR - Our vision is to provide best in class tools allowing users in an very easy way upload their professional,https://www.linkedin.com/company/10082887?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A1317231465397971357%2CVSRPtargetId%3A10082887%2CVSRPcmpt%3Aprimary,"Architecture, CAD, Mobile Apps, Real Estate, Software, Virtual Reality",c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",5/25/2015,active,"Dariusz Lozynski, Hans Heidenreich, Piotr Juchnowicz"
theCrag.com,https://www.thecrag.com ,TheCrag.com is a bouldering and rock climbing platform.,https://www.linkedin.com/company/thecrag/,"Outdoors, Recreation, Sports",c_00001_00010,"Asia-Pacific (APAC), Australasia",1/1/1999,active,
theDesk,https://www.thedesk.com.hk,theDesk develops the next generation community solution using the power of collaboration.,https://www.linkedin.com/company/thedesk-hong-kong,"Communities, Internet, Software",c_00011_00050,Asia-Pacific (APAC),6/1/2016,active,Oscar Venhuis
theDiscountCodes,https://www.thediscountcodes.co.uk/,Top Discount Codes & Vouchers Site,https://www.linkedin.com/company/thediscountcodes/,"Coupons, E-Commerce, Retail, Shopping",c_00051_00100,,8/8/2021,active,
theDock,https://www.thedockvictoria.com,"theDock offers coworking, office, and meeting spaces for social impact professionals in downtown Victoria.",https://www.linkedin.com/company/the-dock-victoria/,"Coworking, Rental, Rental Property",c_00011_00050,,1/1/2014,active,
theDoger,https://thedogercafe.com,theDoger is a cafe that provides homeless dogs to find their ideal adopter.,https://www.linkedin.com/company/the-doger/,"Homeless Shelter, Hospitality, Pet",c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2019,active,
theEword,http://theeword.co.uk,"TheEword founded on being transparent, forward thinking and commercially minded, and these three principles run through everything we do.",https://www.linkedin.com/company/theeword,Software,c_00011_00050,"Europe, Middle East, and Africa (EMEA)",1/1/2006,active,Al Mackin
theF*Money,https://www.thefmoney.com,"theF*Money is a marketing agency that provides brand audit, SEO, and web design services.",https://www.linkedin.com/company/thefmoney/,"Brand Marketing, SEO, Web Design",c_00011_00050,Latin America,1/1/2020,active,
theFactor.e,https://tfe.nl/,"theFactor.e is a full-service digital agency that is expert in creating and developing websites, platforms, apps and other digital products.",https://www.linkedin.com/company/thefactor-e/,"Information Technology, Software, Web Design, Web Development",c_00051_00100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/1995,active,
theFlyCenter,https://www.theflycenter.com/,theFlyCenter is selling fishing accessories on the web and providing fishing training services.,,"Consumer Goods, E-Commerce, Training",c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",10/15/2014,active,
theGPTlab,https://www.thegptlab.com/,AI Agent Ops for financial services,https://www.linkedin.com/company/thegptlab/,"Artificial Intelligence (AI), Financial Services, FinTech, Generative AI",c_00001_00010,,9/12/2023,active,
theGROWTHfactory,http://www.thegrowthfactory.de,theGROWTHfactory specializes in the growth management of promising young high-tech companies (B-to-B and B-to-C).,,Consulting,c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2014,active,
theGroupSystem,http://www.thegroupsystem.com,The Group System is a company that provides a group management system for business's group bookings.,,"Information Technology, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,active,
theHRDIRECTOR,https://www.thehrdirector.com,theHRDIRECTOR is an HR magazine for strategic HR news and informative content.,https://www.linkedin.com/company/thehrdirector,"Content, Human Resources, News",c_00011_00050,"Europe, Middle East, and Africa (EMEA)",11/1/2003,active,
theHUB,https://thehubibiza.com,"theHUB is a coworking company that offers workspace, private offices, and meeting and event spaces.",https://www.linkedin.com/company/thehubibiza,"Construction, Coworking, Lifestyle, Virtual Workforce",c_00011_00050,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2017,active,
theHandsomeGroup,https://www.thehandsomegroup.co.uk,theHandsomeGroup has been focused on bespoke carpentry and set building for both the event and hospitality markets.,,Construction,c_00011_00050,"Europe, Middle East, and Africa (EMEA)",1/1/2012,active,
theHive,https://thehiveonline.com,"theHive is a marketing communication agency specializing graphic design, social media marketing, content writing, and printing services.",https://www.linkedin.com/company/hive-communication-india-pvt-ltd,"Advertising, Graphic Design, Marketing, Printing, Social Media Marketing",c_00011_00050,Asia-Pacific (APAC),1/1/2000,active,Sushil Pandit
theIAShub,https://theiashub.com,"theIAShub specializes in preparation resources, newspaper summaries, infographics, and study materials for IAS aspirants.",https://www.linkedin.com/company/iashub-the,"E-Commerce, Education, Retail, Training",c_00051_00100,Asia-Pacific (APAC),1/1/2018,active,"Divya Raturi, Divya Raturi"
theIJC,http://theijc.com,TheIJC is a joint event by ESMA (European Specialist Manufacturers Association) and Digital Direct Technologies.,,"Information Technology, Manufacturing, Printing",,,,active,
theINDUSTRY AG,https://theindustry.ch,theINDUSTRY AG designs digital advertising formats and social media campaigns for marketing and advertising purpose.,https://www.linkedin.com/company/theindustry,"Advertising, Digital Marketing, Marketing",c_00001_00010,"Europe, Middle East, and Africa (EMEA)",1/1/2018,active,
theJub,https://www.thejub.com,"Career Resource Community Helping Navigate Your Career By Providing Advice On Job Searching, Resume Writing, And Interview Prep",https://www.linkedin.com/company/thejub,"Career Planning, Employment",c_00001_00010,,1/1/2018,active,
theKlab,https://saleslog.co/,theKlab provides a sales information management solution.,,Sales,,Asia-Pacific (APAC),6/12/2019,active,
theLIFEBOARD,https://thelifeboard.app,"theLIFEBOARD is an app that helps organize weeks, plan goals, track habits, and analyze progress.",,"Apps, Productivity Tools, Scheduling",,"Europe, Middle East, and Africa (EMEA)",,active,
theLISL,https://www.thelisl.co.uk/,"Apple Watch Straps, Leather Apple Watch Bands",,,,"Europe, Middle East, and Africa (EMEA)",1/1/2016,active,
theLearnia,http://www.thelearnia.com/,TheLearnia is a social educational network that enables students around the world to gain equal opportunity for online education.,,"E-Learning, Education, Online Portals",,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",2/20/2015,active,Yosi Avraham
theMatchBox,https://www.thematchbox.ai,Search & Matching for staffing professionals,https://www.linkedin.com/company/thematchbox/,"Consulting, Information Technology, Language Learning, Machine Learning, Natural Language Processing, Semantic Search, Software",c_00011_00050,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2/27/2015,active,Jan Govaerts
theMedia 360 Company,http://themedia360.info,"We build smart brands we believe in, can grow with and achieve solid results for.",https://www.linkedin.com/company/themedia360/,Advertising,c_00011_00050,"Europe, Middle East, and Africa (EMEA)",9/20/2013,active,Soltesh Iyere
theNewsbury,https://www.thenewsbury.com/,"theNewsbury is a morning email newsletter that delivers the news happening in the world in a fun, easy-to-read, and totally quotable lingo.",https://www.linkedin.com/company/thenewsbury,"Internet, News, Publishing",c_00001_00010,Asia-Pacific (APAC),1/1/2018,active,Binal Doshi
theODpeople,http://www.the-OD-people.com,theODpeople provide Business Consulting and Services for excellence in Organisation Development.,https://www.linkedin.com/company/theodpeople/,"Business Development, Consulting",c_00001_00010,,1/1/2011,active,
theONEco.,https://www.theoneco.com,"theONEco. is a communication company that provides marketing, branding, and social media management services.",https://www.linkedin.com/company/theoneco.,"Brand Marketing, Marketing, SEO, Social Media Management",c_00011_00050,,,active,
theOrigo,https://www.theorigo.com,"theOrigo is a digital agency that provides Ux design, web development, e-business, SEO and search marketing.",https://www.linkedin.com/company/theorigo/,"Advertising, Digital Marketing, SEO, Software, Web Design",c_00011_00050,Asia-Pacific (APAC),1/1/2007,active,
theOtherDada,http://theotherdada.com/,"Active since 2010, the architecture lab theOtherDada defends an alternative position towards the current practice of sustainability through",https://www.linkedin.com/company/2344027,Health Care,c_00001_00010,"Europe, Middle East, and Africa (EMEA), Middle East",1/1/2010,active,Adib Dada
thePAY,https://www.thepay010.com,thePAY enhances the customer experience by offering a diverse range of updated products and services that bring joy and excitement.,,"Android, Information and Communications Technology (ICT), Information Technology, iOS, Mobile Apps, Mobile Payments",c_00011_00050,Asia-Pacific (APAC),1/10/2017,active,
thePERSHOPPER,http://thepershopper.com/,thePERSHOPPER is a management consulting firm focused on retail stores.,https://www.linkedin.com/company/thepershopper/,"Consumer Goods, Fashion, Management Consulting",c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2012,active,
thePHPfactory,http://www.skepsis-consult.ro/,thePHPfactory is a mother company SKEPSIS Consult SRL & successful business in the IT field like software development.,https://www.linkedin.com/company/thephpfactory,"Consulting, Information Technology, Software",c_00011_00050,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/1993,active,
